tmdbId,userId,rating
862,1,4.0
862,5,4.0
862,7,4.5
862,15,2.5
862,17,4.5
862,18,3.5
862,19,4.0
862,21,3.5
862,27,3.0
862,31,5.0
862,32,3.0
862,33,3.0
862,40,5.0
862,43,5.0
862,44,3.0
862,45,4.0
862,46,5.0
862,50,3.0
862,54,3.0
862,57,5.0
862,63,5.0
862,64,4.0
862,66,4.0
862,68,2.5
862,71,5.0
862,73,4.5
862,76,0.5
862,78,4.0
862,82,2.5
862,86,4.0
862,89,3.0
862,90,3.0
862,91,4.0
862,93,3.0
862,96,5.0
862,98,4.5
862,103,4.0
862,107,4.0
862,112,3.0
862,119,3.5
862,121,4.0
862,124,4.0
862,130,3.0
862,132,2.0
862,134,3.0
862,135,4.0
862,137,4.0
862,140,3.0
862,141,4.0
862,144,3.5
862,145,5.0
862,151,5.0
862,153,2.0
862,155,3.0
862,156,4.0
862,159,4.5
862,160,4.0
862,161,4.0
862,166,5.0
862,167,3.5
862,169,4.5
862,171,5.0
862,177,5.0
862,178,4.0
862,179,4.0
862,182,4.0
862,185,4.0
862,186,4.0
862,191,4.0
862,193,2.0
862,200,3.5
862,201,5.0
862,202,4.0
862,206,5.0
862,213,3.5
862,214,3.0
862,216,3.0
862,217,4.0
862,219,3.5
862,220,5.0
862,223,3.5
862,226,3.5
862,229,5.0
862,232,3.5
862,233,3.0
862,234,5.0
862,239,4.0
862,240,5.0
862,247,5.0
862,249,4.0
862,252,4.5
862,254,4.5
862,263,4.0
862,264,4.0
862,266,2.0
862,269,5.0
862,270,5.0
862,273,5.0
862,274,4.0
862,275,5.0
862,276,4.0
862,277,4.0
862,279,3.0
862,280,4.5
862,282,4.5
862,283,3.0
862,288,4.5
862,290,4.0
862,291,4.0
862,292,4.0
862,293,3.0
862,298,2.0
862,304,5.0
862,307,4.0
862,314,3.0
862,322,3.5
862,323,3.5
862,328,5.0
862,330,4.0
862,332,4.0
862,334,3.5
862,336,4.0
862,337,4.0
862,339,4.0
862,341,5.0
862,347,5.0
862,350,4.0
862,353,5.0
862,357,5.0
862,359,4.0
862,364,5.0
862,367,5.0
862,372,3.0
862,373,3.0
862,378,4.5
862,380,5.0
862,381,3.5
862,382,4.5
862,385,4.0
862,389,5.0
862,391,3.0
862,396,5.0
862,399,4.0
862,401,3.5
862,411,5.0
862,412,2.0
862,414,4.0
862,420,4.0
862,422,4.0
862,432,2.5
862,434,4.0
862,436,4.0
862,438,4.5
862,443,4.0
862,448,5.0
862,451,5.0
862,453,5.0
862,456,5.0
862,460,4.5
862,462,1.5
862,468,4.0
862,469,4.0
862,470,4.0
862,471,5.0
862,474,4.0
862,476,4.0
862,477,4.0
862,480,3.0
862,483,4.0
862,484,4.5
862,488,4.5
862,490,3.5
862,492,4.0
862,500,4.0
862,504,4.0
862,509,4.0
862,514,4.0
862,517,4.0
862,522,3.0
862,524,4.0
862,525,4.0
862,528,2.5
862,529,3.0
862,533,5.0
862,534,4.0
862,541,3.0
862,544,3.0
862,550,4.0
862,555,4.0
862,559,5.0
862,560,3.0
862,561,4.0
862,562,4.5
862,567,3.5
862,570,4.0
862,572,4.0
862,573,5.0
862,579,4.0
862,580,3.0
862,584,5.0
862,587,5.0
862,590,4.0
862,596,4.0
862,597,4.0
862,599,3.0
862,600,2.5
862,601,4.0
862,603,4.0
862,604,3.0
862,605,4.0
862,606,2.5
862,607,4.0
862,608,2.5
862,609,3.0
862,610,5.0
8844,6,4.0
8844,8,4.0
8844,18,3.0
8844,19,3.0
8844,20,3.0
8844,21,3.5
8844,27,4.0
8844,51,4.5
8844,62,4.0
8844,68,2.5
8844,82,3.0
8844,91,3.0
8844,93,5.0
8844,94,4.0
8844,103,4.0
8844,104,3.0
8844,107,5.0
8844,112,1.5
8844,117,3.0
8844,122,4.0
8844,125,4.0
8844,135,3.0
8844,140,3.5
8844,144,3.0
8844,149,1.0
8844,153,2.0
8844,160,4.0
8844,169,4.0
8844,177,3.5
8844,186,4.0
8844,202,4.0
8844,217,2.0
8844,219,2.5
8844,221,3.5
8844,222,2.5
8844,226,3.0
8844,230,2.5
8844,232,4.0
8844,240,5.0
8844,249,4.0
8844,259,2.0
8844,274,3.5
8844,276,4.0
8844,284,4.0
8844,288,2.0
8844,294,3.0
8844,298,0.5
8844,299,3.0
8844,304,4.0
8844,305,3.5
8844,307,2.5
8844,308,3.0
8844,318,3.5
8844,321,5.0
8844,322,3.0
8844,323,4.0
8844,330,1.5
8844,347,3.0
8844,353,4.0
8844,357,3.0
8844,359,3.5
8844,373,3.0
8844,380,5.0
8844,381,4.0
8844,395,3.0
8844,411,4.0
8844,414,3.0
8844,425,3.0
8844,426,4.5
8844,432,4.0
8844,434,2.5
8844,436,4.0
8844,446,3.0
8844,447,5.0
8844,448,3.0
8844,458,4.0
8844,470,3.0
8844,474,3.0
8844,475,4.5
8844,476,4.0
8844,477,4.0
8844,480,3.0
8844,482,4.5
8844,483,4.0
8844,484,2.5
8844,489,2.5
8844,497,2.5
8844,501,3.0
8844,512,3.0
8844,517,3.0
8844,523,4.5
8844,525,3.5
8844,527,4.0
8844,534,4.5
8844,559,4.0
8844,561,4.0
8844,563,2.5
8844,566,4.0
8844,570,3.5
8844,573,4.5
8844,586,4.0
8844,590,2.5
8844,592,4.0
8844,594,4.0
8844,599,2.5
8844,600,4.0
8844,602,4.0
8844,604,5.0
8844,605,3.5
8844,608,2.0
15602,1,4.0
15602,6,5.0
15602,19,3.0
15602,32,3.0
15602,42,4.0
15602,43,5.0
15602,44,3.0
15602,51,4.0
15602,58,3.0
15602,64,3.5
15602,68,2.0
15602,91,3.0
15602,100,3.5
15602,102,5.0
15602,116,3.5
15602,117,3.0
15602,150,3.0
15602,151,3.0
15602,169,5.0
15602,179,4.0
15602,217,1.0
15602,226,3.5
15602,240,4.0
15602,269,4.0
15602,270,3.0
15602,288,4.0
15602,289,2.5
15602,294,1.0
15602,302,3.0
15602,307,3.5
15602,308,0.5
15602,321,3.0
15602,330,3.0
15602,337,4.0
15602,368,3.0
15602,410,4.0
15602,414,4.0
15602,448,3.0
15602,456,3.0
15602,470,3.0
15602,477,3.0
15602,480,2.5
15602,492,4.0
15602,501,5.0
15602,544,3.0
15602,552,1.0
15602,555,5.0
15602,588,3.0
15602,590,3.0
15602,594,4.0
15602,599,1.5
15602,608,2.0
31357,6,3.0
31357,14,3.0
31357,84,3.0
31357,162,3.0
31357,262,1.0
31357,411,2.0
31357,600,1.5
11862,6,5.0
11862,31,3.0
11862,43,5.0
11862,45,3.0
11862,58,4.0
11862,66,4.0
11862,68,2.0
11862,84,3.0
11862,103,4.0
11862,107,4.0
11862,111,3.5
11862,117,3.0
11862,120,4.0
11862,121,3.0
11862,147,4.5
11862,150,3.0
11862,169,5.0
11862,170,3.0
11862,181,3.0
11862,200,4.0
11862,229,3.0
11862,269,3.0
11862,270,3.0
11862,276,3.0
11862,288,2.0
11862,321,3.0
11862,337,4.0
11862,353,3.0
11862,389,4.0
11862,402,3.0
11862,414,2.0
11862,437,2.0
11862,448,3.0
11862,451,3.0
11862,456,3.0
11862,458,3.0
11862,470,3.0
11862,474,1.5
11862,483,2.5
11862,489,2.0
11862,490,0.5
11862,492,3.0
11862,501,3.0
11862,509,1.5
11862,521,3.0
11862,561,3.0
11862,590,2.0
11862,600,2.5
11862,604,3.0
949,1,4.0
949,6,4.0
949,11,5.0
949,18,4.0
949,23,4.0
949,24,4.5
949,28,3.5
949,32,3.0
949,44,3.0
949,45,4.0
949,57,3.0
949,62,4.5
949,64,4.5
949,68,4.0
949,79,4.0
949,82,3.5
949,84,4.0
949,91,5.0
949,102,3.0
949,105,4.0
949,109,3.0
949,112,4.5
949,117,3.0
949,121,5.0
949,140,5.0
949,150,4.0
949,160,2.0
949,166,3.5
949,181,3.0
949,182,4.5
949,191,4.0
949,195,4.0
949,199,4.0
949,202,5.0
949,217,2.0
949,219,3.5
949,220,3.5
949,239,5.0
949,244,5.0
949,266,4.0
949,269,5.0
949,270,3.0
949,274,4.0
949,282,4.0
949,286,4.5
949,294,3.0
949,297,5.0
949,305,3.5
949,308,1.0
949,312,4.0
949,313,3.0
949,314,3.0
949,317,5.0
949,318,4.0
949,325,4.0
949,336,4.0
949,337,5.0
949,339,4.0
949,353,4.0
949,362,4.0
949,368,4.0
949,372,5.0
949,373,5.0
949,380,5.0
949,385,3.0
949,386,3.0
949,389,5.0
949,391,4.0
949,400,5.0
949,414,3.0
949,425,4.0
949,434,4.0
949,437,5.0
949,438,5.0
949,444,4.0
949,451,4.0
949,469,3.0
949,470,3.0
949,474,3.0
949,480,4.0
949,486,5.0
949,492,3.0
949,493,4.0
949,501,3.0
949,521,4.0
949,524,4.0
949,532,5.0
949,553,5.0
949,559,5.0
949,561,4.0
949,573,4.5
949,577,4.0
949,580,4.0
949,588,5.0
949,590,3.5
949,592,3.0
949,597,3.0
949,599,4.5
949,602,3.0
949,603,4.0
949,604,3.0
949,610,5.0
11860,6,4.0
11860,14,3.0
11860,19,2.0
11860,31,4.0
11860,32,4.0
11860,33,1.0
11860,42,3.0
11860,43,5.0
11860,45,3.0
11860,51,4.0
11860,58,5.0
11860,68,2.0
11860,71,3.0
11860,84,3.0
11860,90,4.0
11860,95,3.0
